Date;Stage (Ft)
01/01/00;2.54
01/02/00;2.44
01/03/00;2.35
01/04/00;2.74
01/05/00;1.69
01/06/00;1.87
01/07/00;1.98
01/08/00;1.84
01/09/00;2.34
01/10/00;2.39
01/11/00;1.9
01/12/00;2.03
01/13/00;2.26
01/14/00;2.35
01/15/00;2.94
01/16/00;2.93
01/17/00;3.01
01/18/00;3.31
01/19/00;3.18
01/20/00;3.41
01/21/00;3.09
01/22/00;2.82
01/23/00;3.14
01/24/00;2.84
01/25/00;2.12
01/26/00;1.84
01/27/00;1.66
01/28/00;1.92
01/29/00;2.05
01/30/00;2.05
01/31/00;1.87
02/01/00;1.83
02/02/00;2.04
02/03/00;1.94
02/04/00;1.94
02/05/00;1.74
02/06/00;1.55
02/07/00;1.56
02/08/00;1.4
02/09/00;1.43
02/10/00;1.14
02/11/00;1.51
02/12/00;1.42
02/13/00;1.59
02/14/00;2.34
02/15/00;1.96
02/16/00;2.57
02/17/00;2.28
02/18/00;2.43
02/19/00;2.34
02/20/00;1.94
02/21/00;1.52
02/22/00;1.42
02/23/00;1.6
02/24/00;1.99
02/25/00;2.41
02/26/00;3.15
02/27/00;3.71
02/28/00;4.17
02/29/00;5.05
03/01/00;5.72
03/02/00;6
03/03/00;6.29
03/04/00;6.59
03/05/00;6.65
03/06/00;6.9
03/07/00;7.07
03/08/00;7.04
03/09/00;7.02
03/10/00;6.72
03/11/00;6.32
03/12/00;5.95
03/13/00;5.49
03/14/00;5.18
03/15/00;5.06
03/16/00;5.14
03/17/00;4.59
03/18/00;4.19
03/19/00;3.97
03/20/00;3.67
03/21/00;3.36
03/22/00;3.27
03/23/00;3.24
03/24/00;3.58
03/25/00;3.91
03/26/00;4.31
03/27/00;4.67
03/28/00;5.17
03/29/00;5.44
03/30/00;6
03/31/00;6.14
04/01/00;6.3
04/02/00;6.67
04/03/00;6.7
04/04/00;6.94
04/05/00;7.02
04/06/00;7.24
04/07/00;7.19
04/08/00;7.07
04/09/00;6.66
04/10/00;6.45
04/11/00;6.31
04/12/00;6.56
04/13/00;6.8
04/14/00;6.98
04/15/00;7.39
04/16/00;7.63
04/17/00;7.82
04/18/00;7.94
04/19/00;8.13
04/20/00;8.3
04/21/00;8.24
04/22/00;8.05
04/23/00;7.78
04/24/00;7.78
04/25/00;7.78
04/26/00;6.5
04/27/00;5.93
04/28/00;5.53
04/29/00;5.05
04/30/00;4.74
05/01/00;4.6
05/02/00;4.52
05/03/00;4.62
05/04/00;4.64
05/05/00;4.66
05/06/00;4.83
05/07/00;5.09
05/08/00;5.41
05/09/00;5.7
05/10/00;5.86
05/11/00;5.82
05/12/00;5.75
05/13/00;5.66
05/14/00;5.66
05/15/00;5.66
05/16/00;4.93
05/17/00;4.76
05/18/00;4.68
05/19/00;4.54
05/20/00;4.36
05/21/00;4.17
05/22/00;3.93
05/23/00;3.93
05/24/00;3.61
05/25/00;3.61
05/26/00;3.3
05/27/00;3.07
05/28/00;2.79
05/29/00;2.64
05/30/00;2.46
05/31/00;2.38
06/01/00;2.57
06/02/00;2.71
06/03/00;2.93
06/04/00;3.34
06/05/00;3.91
06/06/00;4.4
06/07/00;4.75
06/08/00;4.99
06/09/00;5.05
06/10/00;5.05
06/11/00;4.78
06/12/00;4.56
06/13/00;4.18
06/14/00;3.93
06/15/00;3.75
06/16/00;3.6
06/17/00;3.55
06/18/00;3.47
06/19/00;3.54
06/20/00;3.56
06/21/00;3.71
06/22/00;3.79
06/23/00;3.89
06/24/00;4.18
06/25/00;4.3
06/26/00;4.67
06/27/00;5.19
06/28/00;5.72
06/29/00;6.13
06/30/00;6.21
07/01/00;6.41
07/02/00;6.54
07/03/00;6.75
07/04/00;7.01
07/05/00;7.26
07/06/00;7.34
07/07/00;7.31
07/08/00;7.28
07/09/00;7.18
07/10/00;7.06
07/11/00;6.9
07/12/00;6.66
07/13/00;6.33
07/14/00;5.99
07/15/00;5.59
07/16/00;5.31
07/17/00;5.1
07/18/00;4.79
07/19/00;4.57
07/20/00;4.34
07/21/00;4.2
07/22/00;4.18
07/23/00;4.27
07/24/00;4.02
07/25/00;3.87
07/26/00;3.81
07/27/00;3.6
07/28/00;3.47
07/29/00;3.4
07/30/00;3.34
07/31/00;3.41
08/01/00;3.39
08/02/00;3.37
08/03/00;3.41
08/04/00;3.17
08/05/00;3.01
08/06/00;2.85
08/07/00;2.66
08/08/00;2.56
08/09/00;2.4
08/10/00;2.19
08/11/00;2.22
08/12/00;2.18
08/13/00;2.2
08/14/00;2.32
08/15/00;2.34
08/16/00;2.22
08/17/00;2.25
08/18/00;2.39
08/19/00;2.6
08/20/00;2.77
08/21/00;2.81
08/22/00;2.81
08/23/00;2.83
08/24/00;2.6
08/25/00;2.37
08/26/00;2.05
08/27/00;1.85
08/28/00;1.83
08/29/00;1.88
