Date;Stage (Ft)
01/01/00;7.71
01/02/00;6.82
01/03/00;6.06
01/04/00;5.81
01/05/00;4.86
01/06/00;4.54
01/07/00;4.1
01/08/00;4.17
01/09/00;4.46
01/10/00;4.75
01/11/00;5.36
01/12/00;6.44
01/13/00;7.67
01/14/00;9
01/15/00;10.04
01/16/00;10.52
01/17/00;10.47
01/18/00;10.31
01/19/00;9.93
01/20/00;9.61
01/21/00;9.15
01/22/00;8.59
01/23/00;8.25
01/24/00;7.81
01/25/00;7.43
01/26/00;6.91
01/27/00;6.27
01/28/00;6.11
01/29/00;6.03
01/30/00;5.78
01/31/00;5.32
02/01/00;5.32
02/02/00;5.32
02/03/00;5
02/04/00;4.86
02/05/00;4.74
02/06/00;4.74
02/07/00;4.4
02/08/00;4.23
02/09/00;4.17
02/10/00;3.96
02/11/00;4.19
02/12/00;4.19
02/13/00;4.31
02/14/00;4.68
02/15/00;4.52
02/16/00;4.57
02/17/00;4.22
02/18/00;4.24
02/19/00;4.19
02/20/00;4.03
02/21/00;4.08
02/22/00;4.34
02/23/00;5.29
02/24/00;6.77
02/25/00;8.79
02/26/00;11.1
02/27/00;13.27
02/28/00;15.21
02/29/00;17.22
03/01/00;18.68
03/02/00;19.78
03/03/00;20.75
03/04/00;21.57
03/05/00;22.2
03/06/00;22.71
03/07/00;22.97
03/08/00;22.87
03/09/00;22.43
03/10/00;21.68
03/11/00;20.66
03/12/00;19.49
03/13/00;18.31
03/14/00;17.26
03/15/00;16.42
03/16/00;15.58
03/17/00;14.55
03/18/00;13.57
03/19/00;12.86
03/20/00;12.28
03/21/00;11.9
03/22/00;12.21
03/23/00;12.58
03/24/00;13.3
03/25/00;14.13
03/26/00;14.88
03/27/00;15.68
03/28/00;16.76
03/29/00;17.79
03/30/00;18.86
03/31/00;19.7
04/01/00;20.39
04/02/00;20.83
04/03/00;21.18
04/04/00;22.24
04/05/00;23.07
04/06/00;23.05
04/07/00;22.6
04/08/00;22.05
04/09/00;21.47
04/10/00;20.82
04/11/00;20.47
04/12/00;20.58
04/13/00;21.29
04/14/00;21.96
04/15/00;22.68
04/16/00;23.52
04/17/00;24.03
04/18/00;24.41
04/19/00;24.74
04/20/00;24.69
04/21/00;24.31
04/22/00;23.63
04/23/00;22.86
04/24/00;21.96
04/25/00;20.79
04/26/00;19.42
04/27/00;18.12
04/28/00;16.88
04/29/00;15.77
04/30/00;15.06
05/01/00;14.79
05/02/00;14.88
05/03/00;15.18
05/04/00;15.47
05/05/00;15.67
05/06/00;16.16
05/07/00;16.84
05/08/00;17.53
05/09/00;17.99
05/10/00;18.08
05/11/00;17.92
05/12/00;17.7
05/13/00;17.43
05/14/00;16.9
05/15/00;16.3
05/16/00;15.8
05/17/00;15.39
05/18/00;14.97
05/19/00;14.72
05/20/00;14.22
05/21/00;13.75
05/22/00;12.82
05/23/00;11.92
05/24/00;11.43
05/25/00;11.01
05/26/00;10.18
05/27/00;9.51
05/28/00;9
05/29/00;8.71
05/30/00;8.44
05/31/00;8.71
06/01/00;9.45
06/02/00;10.52
06/03/00;11.67
06/04/00;11.67
06/05/00;11.67
06/06/00;11.67
06/07/00;16.13
06/08/00;16.53
06/09/00;16.58
06/10/00;16.34
06/11/00;15.89
06/12/00;15.11
06/13/00;14.34
06/14/00;13.62
06/15/00;12.87
06/16/00;12.87
06/17/00;12.87
06/18/00;12.87
06/19/00;12.87
06/20/00;12.87
06/21/00;12.3
06/22/00;12.69
06/23/00;13.14
06/24/00;13.76
06/25/00;14.47
06/26/00;15.78
06/27/00;17.6
06/28/00;19.31
06/29/00;20.27
06/30/00;20.86
07/01/00;21.35
07/02/00;21.87
07/03/00;22.33
07/04/00;22.66
07/05/00;22.92
07/06/00;22.95
07/07/00;22.86
07/08/00;22.84
07/09/00;22.73
07/10/00;22.46
07/11/00;22.02
07/12/00;21.59
