Date;Stage (Ft)
01/01/00;13.5
01/02/00;12
01/03/00;10.7
01/04/00;9.6
01/05/00;8.8
01/06/00;8.3
01/07/00;8.5
01/08/00;8.9
01/09/00;9.3
01/10/00;11.5
01/11/00;14.8
01/12/00;17.9
01/13/00;20.1
01/14/00;21.1
01/15/00;20.49
01/16/00;21
01/17/00;20.5
01/18/00;21.99
01/19/00;19.1
01/20/00;18.4
01/21/00;17.5
01/22/00;16.6
01/23/00;15.8
01/24/00;15.1
01/25/00;14.2
01/26/00;13.3
01/27/00;12.6
01/28/00;12.1
01/29/00;11.6
01/30/00;11.1
01/31/00;10.6
02/01/00;10.5
02/02/00;10.5
02/03/00;10.4
02/04/00;10.3
02/05/00;10
02/06/00;9.5
02/07/00;9
02/08/00;8.5
02/09/00;8.1
02/10/00;7.8
02/11/00;7.8
02/12/00;7.8
02/13/00;7.6
02/14/00;7.4
02/15/00;7.4
02/16/00;7.4
02/17/00;7.5
02/18/00;7.4
02/19/00;7.4
02/20/00;7.9
02/21/00;9.5
02/22/00;12.4
02/23/00;15.8
02/24/00;19.7
02/25/00;23.3
02/26/00;26
02/27/00;27.9
02/28/00;29.9
02/29/00;31.4
03/01/00;32.5
03/02/00;33.4
03/03/00;34.2
03/04/00;34.6
03/05/00;35.1
03/06/00;35.3
03/07/00;35
03/08/00;34.3
03/09/00;33.2
03/10/00;31.9
03/11/00;30.9
03/12/00;29.8
03/13/00;28.8
03/14/00;27.9
03/15/00;26.6
03/16/00;25.1
03/17/00;23.7
03/18/00;22.5
03/19/00;21.6
03/20/00;21.3
03/21/00;22.1
03/22/00;23.2
03/23/00;24.2
03/24/00;25.3
03/25/00;26.4
03/26/00;27.5
03/27/00;28.7
03/28/00;29.8
03/29/00;30.9
03/30/00;31.8
03/31/00;32.3
04/01/00;32.6
04/02/00;32.6
04/03/00;33.3
04/04/00;34.1
04/05/00;33.6
04/06/00;33
04/07/00;32.3
04/08/00;31.5
04/09/00;30.8
04/10/00;30.5
04/11/00;31
04/12/00;32.1
04/13/00;33.2
04/14/00;34.1
04/15/00;34.9
04/16/00;35.8
04/17/00;36.2
04/18/00;36.4
04/19/00;36.2
04/20/00;35.6
04/21/00;34.7
04/22/00;33.7
04/23/00;32.9
04/24/00;31.7
04/25/00;30.3
04/26/00;29
04/27/00;27.6
04/28/00;26.4
04/29/00;25.9
04/30/00;26
05/01/00;26.6
05/02/00;27
05/03/00;27.1
05/04/00;27.2
05/05/00;27.6
05/06/00;28.1
05/07/00;28.6
05/08/00;29.2
05/09/00;29.2
05/10/00;28.9
05/11/00;28.5
05/12/00;28.1
05/13/00;27.4
05/14/00;26.4
05/15/00;25.9
05/16/00;25.6
05/17/00;25.5
05/18/00;25.1
05/19/00;23.5
05/20/00;22.8
05/21/00;22.5
05/22/00;22.5
05/23/00;22.5
05/24/00;19
05/25/00;17.5
05/26/00;16
05/27/00;15.3
05/28/00;14.9
05/29/00;14.8
05/30/00;15.9
05/31/00;17.9
06/01/00;20.3
06/02/00;22.3
06/03/00;24
06/04/00;25.7
06/05/00;27.4
06/06/00;28.2
06/07/00;28.4
06/08/00;28.2
06/09/00;27.8
06/10/00;27.2
06/11/00;26.3
06/12/00;25.3
06/13/00;24.2
06/14/00;23
06/15/00;22.1
06/16/00;21.4
06/17/00;21.2
06/18/00;21.4
06/19/00;21.9
06/20/00;22.2
06/21/00;22.8
06/22/00;23.7
06/23/00;24.7
06/24/00;25.8
06/25/00;27.7
06/26/00;30
06/27/00;31.9
06/28/00;33
06/29/00;33.5
06/30/00;33.8
07/01/00;34.4
07/02/00;34.9
07/03/00;35.4
07/04/00;35.6
07/05/00;35.7
07/06/00;38
07/07/00;36.8
07/08/00;35.6
07/09/00;35.2
07/10/00;34.7
07/11/00;34
07/12/00;33.3
07/13/00;32.3
07/14/00;31.4
07/15/00;30.6
07/16/00;29.7
07/17/00;28.9
07/18/00;28
07/19/00;27.2
07/20/00;26.8
07/21/00;26.6
07/22/00;26.2
07/23/00;25.8
07/24/00;25.4
07/25/00;25.1
07/26/00;25
07/27/00;24.7
07/28/00;24.4
07/29/00;24
07/30/00;23.5
07/31/00;23.1
08/01/00;22.5
08/02/00;21.7
08/03/00;21
08/04/00;20.3
08/05/00;19.3
08/06/00;18
08/07/00;17.8
08/08/00;17.6
08/09/00;17.4
08/10/00;17.2
08/11/00;17
08/12/00;17.1
08/13/00;17
08/14/00;16.9
08/15/00;17.2
08/16/00;17.6
08/17/00;18.4
08/18/00;19.1
08/19/00;19.9
08/20/00;20
08/21/00;19.8
08/22/00;19
08/23/00;17.8
08/24/00;16.6
08/25/00;15.3
08/26/00;14.5
08/27/00;14
08/28/00;13.6
08/29/00;13.2
08/30/00;13.1
08/31/00;13
09/01/00;14.2
09/02/00;13.8
09/03/00;14.1
09/04/00;14.5
09/05/00;14.7
09/06/00;14.7
09/07/00;14.4
09/08/00;13.8
09/09/00;12.9
09/10/00;12.1
09/11/00;12.6
09/12/00;11.4
09/13/00;10.2
09/14/00;9.7
09/15/00;9.3
09/16/00;8.9
09/17/00;8.4
09/18/00;8.6
09/19/00;8.6
09/20/00;9.3
09/21/00;9.5
09/22/00;9.9
09/23/00;10.1
09/24/00;10.1
09/25/00;9.8
09/26/00;9.4
09/27/00;9.2
09/28/00;8.8
09/29/00;8.6
09/30/00;8.4
10/01/00;8.4
10/02/00;8.6
10/03/00;9.2
10/04/00;10.2
10/05/00;11.5
10/06/00;12.6
10/07/00;13.5
10/08/00;13.6
10/09/00;13.4
10/10/00;12.8
10/11/00;12
10/12/00;11.2
10/13/00;10.5
10/14/00;10.2
10/15/00;10.4
10/16/00;10.8
10/17/00;11.3
10/18/00;11.6
10/19/00;11.7
10/20/00;11.5
10/21/00;11.1
10/22/00;10.8
10/23/00;10.5
10/24/00;10.3
10/25/00;10.1
10/26/00;9.9
10/27/00;9.6
10/28/00;9.2
10/29/00;8.6
10/30/00;8
10/31/00;7.9
11/01/00;7.8
11/02/00;7.8
11/03/00;8
11/04/00;8.2
11/05/00;8.2
11/06/00;8.2
11/07/00;8.4
11/08/00;8.2
11/09/00;9.8
11/10/00;10.8
11/11/00;11.3
11/12/00;12
11/13/00;10.6
11/14/00;9.3
11/15/00;11.5
11/16/00;12.3
11/17/00;13.3
11/18/00;14
11/19/00;14.7
11/20/00;15.4
11/21/00;16.3
11/22/00;16.8
11/23/00;16.6
11/24/00;16.3
11/25/00;16.5
11/26/00;16.9
11/27/00;18.1
11/28/00;19.5
11/29/00;20.6
11/30/00;20.9
12/01/00;20.3
12/02/00;19.5
12/03/00;18.8
12/04/00;18
12/05/00;17.7
12/06/00;17.4
12/07/00;17.3
12/08/00;17.3
12/09/00;16.8
12/10/00;16.4
12/11/00;15.8
12/12/00;15.2
12/13/00;14.2
12/14/00;13.3
12/15/00;12.4
12/16/00;11.9
12/17/00;11.3
12/18/00;10.9
12/19/00;11.6
12/20/00;12.8
12/21/00;14.2
12/22/00;15.2
12/23/00;16.4
12/24/00;18.6
12/25/00;21.9
12/26/00;24.5
12/27/00;25.9
12/28/00;26.8
12/29/00;27.9
12/30/00;28.3
12/31/00;28.3
01/01/01;27.9
01/02/01;26.6
01/03/01;25.4
01/04/01;23.8
01/05/01;22.2
01/06/01;20.3
01/07/01;18.5
01/08/01;17.2
01/09/01;15.8
01/10/01;14.9
01/11/01;14.2
01/12/01;13.3
01/13/01;12.6
01/14/01;12.3
01/15/01;12.5
01/16/01;12.7
01/17/01;12.8
01/18/01;13
01/19/01;13
01/20/01;15.8
01/21/01;16.2
01/22/01;17
01/23/01;17.6
01/24/01;17.9
01/25/01;17.9
01/26/01;18.6
01/27/01;19.8
01/28/01;21.2
01/29/01;23
01/30/01;24.9
01/31/01;26.4
02/01/01;27.1
02/02/01;27.5
02/03/01;27.7
02/04/01;27.4
02/05/01;26.8
02/06/01;26.2
02/07/01;26
02/08/01;26.6
02/09/01;27.8
02/10/01;29
02/11/01;29.5
02/12/01;29.6
02/13/01;29.6
02/14/01;29
02/15/01;28.4
02/16/01;28.1
02/17/01;28.9
02/18/01;31.2
02/19/01;34.4
02/20/01;36.8
02/21/01;38.7
02/22/01;40.1
02/23/01;41
02/24/01;41.6
02/25/01;42
02/26/01;42.7
02/27/01;43.2
02/28/01;44
03/01/01;44.5
03/02/01;45.6
03/03/01;46.5
03/04/01;47
03/05/01;47.3
03/06/01;47.5
03/07/01;47.7
03/08/01;47.9
03/09/01;47.9
03/10/01;47.5
03/11/01;47.1
03/12/01;46.7
03/13/01;46.5
03/14/01;46.2
03/15/01;46
03/16/01;45.6
03/17/01;45.1
03/18/01;44.6
03/19/01;43.9
03/20/01;43.1
03/21/01;42.5
03/22/01;41.8
03/23/01;41.3
03/24/01;41.2
03/25/01;41.4
03/26/01;41.7
03/27/01;42
03/28/01;42.3
03/29/01;42.2
03/30/01;42.1
03/31/01;41.8
04/01/01;41.4
04/02/01;41
04/03/01;40.3
04/04/01;39.5
04/05/01;38.5
04/06/01;37.2
04/07/01;35.9
04/08/01;34.7
04/09/01;34
04/10/01;33.5
04/11/01;33.3
04/12/01;32.9
04/13/01;32.6
04/14/01;32.3
04/15/01;32.2
04/16/01;32
04/17/01;32
04/18/01;32.4
04/19/01;32.9
04/20/01;33.6
04/21/01;34.5
04/22/01;35.4
04/23/01;36.3
04/24/01;36.9
04/25/01;37.2
04/26/01;37.1
04/27/01;36.7
04/28/01;36.1
04/29/01;35.6
04/30/01;35.1
05/01/01;34.7
05/02/01;34.2
05/03/01;33.7
05/04/01;33.1
05/05/01;32.5
