Date;Stage (Ft)
01/01/00;5.2
01/02/00;3.9
01/03/00;2.5
01/04/00;2
01/05/00;1.2
01/06/00;1.7
01/07/00;2.2
01/08/00;2.1
01/09/00;4.1
01/10/00;7.8
01/11/00;11.3
01/12/00;14.4
01/13/00;15.5
01/14/00;16
01/15/00;14.48
01/16/00;14.4
01/17/00;14.2
01/18/00;14.72
01/19/00;12
01/20/00;11.2
01/21/00;10.3
01/22/00;9.6
01/23/00;8.8
01/24/00;8
01/25/00;6.8
01/26/00;6.1
01/27/00;5.7
01/28/00;5.1
01/29/00;4.6
01/30/00;4.1
01/31/00;3.8
02/01/00;3.8
02/02/00;3.8
02/03/00;3.6
02/04/00;3.3
02/05/00;2.7
02/06/00;2.2
02/07/00;1.7
02/08/00;1.2
02/09/00;0.9
02/10/00;1
02/11/00;1.9
02/12/00;0.8
02/13/00;0.6
02/14/00;0.5
02/15/00;0.4
02/16/00;0.6
02/17/00;0.6
02/18/00;0.4
02/19/00;1
02/20/00;2.6
02/21/00;5.6
02/22/00;9.1
02/23/00;13.2
02/24/00;17
02/25/00;20
02/26/00;22.1
02/27/00;23.8
02/28/00;25
02/29/00;26.3
03/01/00;27.4
03/02/00;28
03/03/00;28.4
03/04/00;28.8
03/05/00;29
03/06/00;29.3
03/07/00;28.6
03/08/00;27.3
03/09/00;26.2
03/10/00;24.6
03/11/00;23.7
03/12/00;22.7
03/13/00;21.8
03/14/00;20.8
03/15/00;19.1
03/16/00;17.2
03/17/00;15.7
03/18/00;14.6
03/19/00;14
03/20/00;14.7
03/21/00;16
03/22/00;17.2
03/23/00;18.2
03/24/00;19
03/25/00;20.6
03/26/00;21
03/27/00;22.4
03/28/00;23.7
03/29/00;24.5
03/30/00;25.3
03/31/00;25.7
04/01/00;25.9
04/02/00;25.8
04/03/00;25.8
04/04/00;25.6
04/05/00;25
04/06/00;24
04/07/00;22.9
04/08/00;21.9
04/09/00;21.5
04/10/00;21.7
04/11/00;22.9
04/12/00;24.4
04/13/00;25.4
04/14/00;26.4
04/15/00;27.3
04/16/00;28.1
04/17/00;28.7
04/18/00;28.5
04/19/00;27.9
04/20/00;27
04/21/00;26.1
04/22/00;27.5
04/23/00;24.5
04/24/00;23
04/25/00;21.7
04/26/00;20.3
04/27/00;19.3
04/28/00;18.7
04/29/00;18.9
04/30/00;19.8
05/01/00;20.4
05/02/00;20.5
05/03/00;20.4
05/04/00;20.6
05/05/00;20.9
05/06/00;21.5
05/07/00;21.8
05/08/00;21.9
05/09/00;21.9
05/10/00;21.1
05/11/00;20.6
05/12/00;20
05/13/00;19
05/14/00;18.2
05/15/00;18
05/16/00;18.1
05/17/00;18
05/18/00;17.4
05/19/00;16.4
05/20/00;15.3
05/21/00;14.1
05/22/00;12.8
05/23/00;11.2
05/24/00;9.6
05/25/00;8.3
05/26/00;7.6
05/27/00;7
05/28/00;6.9
05/29/00;8.1
05/30/00;10.4
05/31/00;13.2
06/01/00;15.5
06/02/00;17.1
06/03/00;19.2
06/04/00;20.5
06/05/00;21.7
06/06/00;21.8
06/07/00;21.5
06/08/00;21.1
06/09/00;20.5
06/10/00;19.8
06/11/00;18.6
06/12/00;17.6
06/13/00;16.2
06/14/00;15
06/15/00;14.4
06/16/00;14.1
06/17/00;14.4
