Date;Stage (Ft)
01/01/00;10.9
01/02/00;9.6
01/03/00;9.2
01/04/00;8.6
01/05/00;9.2
01/06/00;10
01/07/00;9.4
01/08/00;11.8
01/09/00;15.7
01/10/00;19
01/11/00;21.5
01/12/00;22.6
01/13/00;22.5
01/14/00;22
01/15/00;21.1
01/16/00;20.4
01/17/00;19.6
01/18/00;18.7
01/19/00;17.9
01/20/00;16.9
01/21/00;16.4
01/22/00;15.5
01/23/00;14.9
01/24/00;13.6
01/25/00;13.1
01/26/00;12.8
01/27/00;12.2
01/28/00;11.8
01/29/00;11.3
01/30/00;11.2
01/31/00;11.3
02/01/00;11.2
02/02/00;11
02/03/00;10.8
02/04/00;10.2
02/05/00;9.8
02/06/00;9.4
02/07/00;8.8
02/08/00;8.7
02/09/00;8.9
02/10/00;8.9
02/11/00;8.7
02/12/00;8.4
02/13/00;8.5
02/14/00;8.4
02/15/00;8.7
02/16/00;8.5
02/17/00;8.2
02/18/00;8.7
02/19/00;10.3
02/20/00;13.5
02/21/00;16.7
02/22/00;20.5
02/23/00;24.1
02/24/00;26.8
02/25/00;28.7
02/26/00;30.3
02/27/00;31.4
02/28/00;32.6
02/29/00;33.6
03/01/00;34.3
03/02/00;34.6
03/03/00;34.9
03/04/00;34.8
03/05/00;34.3
03/06/00;33.3
03/07/00;32.1
03/08/00;30.6
03/09/00;29.3
03/10/00;28.5
03/11/00;27.8
03/12/00;26.6
03/13/00;25
03/14/00;23.1
03/15/00;21.4
03/16/00;20.4
03/17/00;19.6
03/18/00;20.1
03/19/00;21.4
03/20/00;22.5
03/21/00;23.7
03/22/00;24.7
03/23/00;25.4
03/24/00;26.8
03/25/00;28.4
03/26/00;29.8
03/27/00;30.7
03/28/00;31.3
03/29/00;31.6
03/30/00;31.5
03/31/00;31.1
04/01/00;30.7
04/02/00;29.6
04/03/00;28.5
04/04/00;27.5
04/05/00;26.5
04/06/00;25.4
04/07/00;25
04/08/00;25.3
04/09/00;26.6
04/10/00;28.3
04/11/00;29
04/12/00;30.5
04/13/00;31.2
04/14/00;32.3
04/15/00;32.9
04/16/00;32.8
04/17/00;32.3
04/18/00;31.6
04/19/00;30.8
04/20/00;30.3
04/21/00;29.4
04/22/00;28.1
04/23/00;26.9
04/24/00;25.7
04/25/00;24.7
04/26/00;24.4
04/27/00;24.8
04/28/00;25.6
04/29/00;26.7
04/30/00;26.7
05/01/00;26.5
05/02/00;26.6
05/03/00;26.9
05/04/00;27.3
05/05/00;27.6
05/06/00;27.6
05/07/00;27
05/08/00;26.4
05/09/00;26.1
05/10/00;26.1
05/11/00;25.6
05/12/00;24.3
05/13/00;23.2
05/14/00;23.4
05/15/00;24
05/16/00;24.2
05/17/00;23.5
05/18/00;22.5
05/19/00;21.3
05/20/00;20.1
05/21/00;18.9
05/22/00;17.3
05/23/00;15.8
05/24/00;14.8
05/25/00;14.3
05/26/00;14
05/27/00;13.8
05/28/00;15.2
05/29/00;17.8
05/30/00;20.4
05/31/00;22.7
06/01/00;24
06/02/00;25.7
06/03/00;27.3
06/04/00;28.1
06/05/00;28.2
06/06/00;27.7
06/07/00;26.9
06/08/00;26.4
06/09/00;25.4
06/10/00;24.4
06/11/00;23.5
06/12/00;22.2
06/13/00;20.9
06/14/00;20.7
06/15/00;20.4
06/16/00;20.9
06/17/00;21.7
06/18/00;21.9
06/19/00;22
06/20/00;23
06/21/00;24.1
06/22/00;24.9
06/23/00;26.5
06/24/00;29
06/25/00;31.1
06/26/00;32.6
06/27/00;32.9
06/28/00;32.9
06/29/00;33.3
06/30/00;33.8
07/01/00;34.3
07/02/00;34.5
07/03/00;34.5
07/04/00;34.5
07/05/00;34.4
07/06/00;34.3
07/07/00;34
07/08/00;33.3
07/09/00;32.5
07/10/00;31.6
07/11/00;30.5
07/12/00;29.5
07/13/00;28.7
07/14/00;28.1
07/15/00;27.4
07/16/00;26.7
07/17/00;25.7
07/18/00;25.4
07/19/00;25.5
07/20/00;25.4
07/21/00;25
07/22/00;24.4
07/23/00;24.4
07/24/00;24.4
07/25/00;24.3
07/26/00;24
07/27/00;23.6
07/28/00;23.1
07/29/00;22.7
07/30/00;22.1
07/31/00;21.9
08/01/00;20.4
08/02/00;19.9
08/03/00;19.1
08/04/00;18.3
08/05/00;17.8
08/06/00;17.8
08/07/00;17.6
08/08/00;17.2
08/09/00;17.4
08/10/00;17.3
08/11/00;17.4
08/12/00;17.1
08/13/00;17.4
08/14/00;17.7
08/15/00;18.4
08/16/00;19.7
08/17/00;20.4
08/18/00;20.7
