Date;Stage (Ft)
01/01/00;-0.4
01/02/00;-1.6
01/03/00;-1.9
01/04/00;-2.4
01/05/00;-1.2
01/06/00;-0.9
01/07/00;-1.3
01/08/00;2.3
01/09/00;6
01/10/00;8.8
01/11/00;10.9
01/12/00;11.5
01/13/00;11.2
01/14/00;10.5
01/15/00;11.1
01/16/00;9
01/17/00;8.1
01/18/00;10.47
01/19/00;6.5
01/20/00;5.6
01/21/00;5.1
01/22/00;4.3
01/23/00;3.5
01/24/00;2.5
01/25/00;2.1
01/26/00;1.8
01/27/00;1.2
01/28/00;0.7
01/29/00;0.4
01/30/00;0.2
01/31/00;0.5
02/01/00;0.2
02/02/00;0.2
02/03/00;-0.2
02/04/00;-1.1
02/05/00;-1.2
02/06/00;-2
02/07/00;-2.2
02/08/00;-2.2
02/09/00;-2.1
02/10/00;-2
02/11/00;-2.4
02/12/00;-2.6
02/13/00;-2.5
02/14/00;-2.5
02/15/00;-2.3
02/16/00;-2.5
02/17/00;-2.8
02/18/00;-1.9
02/19/00;0.2
02/20/00;3.8
02/21/00;6.8
02/22/00;10.6
02/23/00;13.8
02/24/00;16.2
02/25/00;18
02/26/00;19.3
02/27/00;20.3
02/28/00;21.7
02/29/00;22.7
03/01/00;23.1
03/02/00;23.3
03/03/00;23.6
03/04/00;23.8
03/05/00;22.7
03/06/00;21.6
03/07/00;20.2
03/08/00;18.5
03/09/00;17.3
03/10/00;16.5
03/11/00;15.7
03/12/00;14.5
03/13/00;12.6
03/14/00;10.7
03/15/00;9.2
03/16/00;8.3
03/17/00;7.8
03/18/00;8.6
03/19/00;10.1
03/20/00;11.1
03/21/00;12.4
03/22/00;13.2
03/23/00;14
03/24/00;15.5
03/25/00;17.1
03/26/00;18.5
03/27/00;19.2
03/28/00;19.8
03/29/00;19.9
03/30/00;19.8
03/31/00;19.8
04/01/00;19.3
04/02/00;18.6
04/03/00;17.3
04/04/00;16.2
04/05/00;15.2
04/06/00;14.1
04/07/00;13
04/08/00;12.9
04/09/00;13.5
04/10/00;15.2
04/11/00;16.8
04/12/00;17.7
04/13/00;19
04/14/00;20.1
04/15/00;21
04/16/00;21.5
04/17/00;21.2
04/18/00;20.6
04/19/00;19.7
04/20/00;19
04/21/00;18.5
04/22/00;17.5
04/23/00;16.2
04/24/00;14.9
04/25/00;13.7
04/26/00;12.9
04/27/00;12.7
04/28/00;13.5
04/29/00;14.5
04/30/00;15.5
05/01/00;15.3
05/02/00;15.1
05/03/00;15.3
05/04/00;15.6
05/05/00;16
05/06/00;16.3
05/07/00;16.1
05/08/00;15.3
05/09/00;14.8
05/10/00;14.4
05/11/00;13.8
05/12/00;12.1
05/13/00;11.5
05/14/00;12.1
05/15/00;12.7
05/16/00;12.5
05/17/00;11.7
05/18/00;10.7
05/19/00;9.3
05/20/00;8.2
05/21/00;7.1
05/22/00;5.4
05/23/00;4.1
05/24/00;3.1
05/25/00;2.9
05/26/00;2.3
05/27/00;2.6
05/28/00;4.7
05/29/00;7.2
05/30/00;9.7
05/31/00;11.6
06/01/00;12.8
06/02/00;14.8
06/03/00;11.3
06/04/00;16.8
06/05/00;16.5
06/06/00;16
06/07/00;15.1
06/08/00;14.6
06/09/00;13.3
06/10/00;12.4
06/11/00;11.4
06/12/00;10.1
06/13/00;9
06/14/00;9
06/15/00;8.9
06/16/00;9.6
06/17/00;10.3
06/18/00;10.1
