Date;Stage (Ft)
01/01/00;-2.1
01/02/00;-2.5
01/03/00;-3.1
01/04/00;-3.4
01/05/00;-3.1
01/06/00;-0.81
01/07/00;4.5
01/08/00;9.5
01/09/00;13.2
01/10/00;15
01/11/00;15.1
01/12/00;14.4
01/13/00;13.3
01/14/00;12.1
01/15/00;13.58
01/16/00;10.2
01/17/00;9.1
01/18/00;12.63
01/19/00;6.4
01/20/00;5.6
01/21/00;4.9
01/22/00;3.8
01/23/00;2.8
01/24/00;2
01/25/00;1.5
01/26/00;1
01/27/00;0.01
01/28/00;-0.39
01/29/00;-0.11
01/30/00;0.24
01/31/00;0.47
02/01/00;0.06
02/02/00;-0.83
02/03/00;-1.5
02/04/00;-2.1
02/05/00;-2.4
02/06/00;-2.4
02/07/00;-2.3
02/08/00;-2.4
02/09/00;-2.4
02/10/00;-2.4
02/11/00;-2.4
02/12/00;-2.4
02/13/00;-2.5
02/14/00;-2.5
02/15/00;-2.5
02/16/00;-2
02/17/00;-0.62
02/18/00;2.5
02/19/00;6.9
02/20/00;11.7
02/21/00;16.5
02/22/00;20
02/23/00;22
02/24/00;23.4
02/25/00;24.3
02/26/00;25
02/27/00;26.1
02/28/00;27
02/29/00;27.6
03/01/00;28.1
03/02/00;28.4
03/03/00;28.2
03/04/00;27.4
03/05/00;25.9
03/06/00;23.9
03/07/00;21.8
03/08/00;19.9
03/09/00;18.5
03/10/00;17.5
03/11/00;16.4
03/12/00;15
03/13/00;13.4
03/14/00;11.3
03/15/00;9.2
03/16/00;8.1
03/17/00;8.7
03/18/00;9.8
03/19/00;10.9
03/20/00;12.2
03/21/00;13.5
03/22/00;14.3
03/23/00;15.6
03/24/00;18
03/25/00;20
03/26/00;21.1
03/27/00;21.8
03/28/00;21.9
03/29/00;21.6
03/30/00;21.3
03/31/00;20.5
04/01/00;19
04/02/00;17.3
04/03/00;15.4
04/04/00;14
04/05/00;12.9
04/06/00;12.1
04/07/00;12.3
04/08/00;14.1
04/09/00;17
04/10/00;19.5
04/11/00;21
04/12/00;22.8
04/13/00;23.9
04/14/00;24.7
04/15/00;24.9
04/16/00;24.5
04/17/00;23.9
04/18/00;23.4
04/19/00;22.7
04/20/00;22.1
04/21/00;20.9
04/22/00;19.6
04/23/00;18
04/24/00;16.5
04/25/00;15.4
04/26/00;15.4
04/27/00;16.7
04/28/00;18.6
04/29/00;19.2
04/30/00;19.4
05/01/00;19.1
05/02/00;18.8
05/03/00;18.5
05/04/00;18.5
05/05/00;18.3
05/06/00;17.7
05/07/00;16.2
05/08/00;14.6
05/09/00;13.5
05/10/00;11.8
05/11/00;10.5
05/12/00;10.2
05/13/00;11
05/14/00;11.6
05/15/00;10.7
05/16/00;9.5
05/17/00;7.9
05/18/00;6.6
05/19/00;5.8
05/20/00;5
05/21/00;4.4
05/22/00;3.8
05/23/00;3.1
05/24/00;3.2
05/25/00;3.7
05/26/00;4.3
05/27/00;5.7
05/28/00;7.8
05/29/00;10.7
05/30/00;13.4
05/31/00;16
06/01/00;18.2
06/02/00;19.4
06/03/00;19.4
06/04/00;18.9
06/05/00;18.3
06/06/00;17.5
06/07/00;16.6
06/08/00;15.5
06/09/00;14.2
06/10/00;12.6
06/11/00;11.3
06/12/00;10.7
06/13/00;10.6
06/14/00;10.7
06/15/00;10.9
06/16/00;11.1
06/17/00;11
06/18/00;10.9
06/19/00;11
06/20/00;11.8
06/21/00;14.3
06/22/00;17.5
06/23/00;19.4
06/24/00;20.4
06/25/00;21
06/26/00;21.4
06/27/00;21.7
06/28/00;22.5
06/29/00;23.6
06/30/00;24.3
07/01/00;24.2
07/02/00;23.8
07/03/00;23.5
07/04/00;23.4
07/05/00;23.2
07/06/00;22.6
07/07/00;21.5
07/08/00;20.2
07/09/00;19.3
07/10/00;18.6
07/11/00;18.2
07/12/00;18
07/13/00;17.9
07/14/00;17.5
07/15/00;16.7
07/16/00;16.2
07/17/00;16.1
07/18/00;16.1
07/19/00;16
07/20/00;15.6
07/21/00;15.4
07/22/00;15.3
07/23/00;15.1
07/24/00;14.9
07/25/00;14.9
07/26/00;14.8
07/27/00;14.3
07/28/00;13.3
07/29/00;12
07/30/00;10.6
07/31/00;9.1
08/01/00;8.1
08/02/00;7.5
08/03/00;7.1
08/04/00;7.2
08/05/00;7.4
08/06/00;7.7
08/07/00;7.8
08/08/00;7.9
