Date;Stage (Ft)
01/01/00;-8.5
01/02/00;-9
01/03/00;-9.2
01/04/00;-9
01/05/00;-7.6
01/06/00;-2.6
01/07/00;2.7
01/08/00;6.6
01/09/00;8.8
01/10/00;9
01/11/00;8.1
01/12/00;6.7
01/13/00;5.4
01/14/00;4.4
01/15/00;4.4
01/16/00;2.5
01/17/00;1.2
01/18/00;1.2
01/19/00;-0.87
01/20/00;-1.3
01/21/00;-2.3
01/22/00;-3.4
01/23/00;-4.1
01/24/00;-4.5
01/25/00;-4.9
01/26/00;-5.9
01/27/00;-6.5
01/28/00;-6.3
01/29/00;-5.8
01/30/00;-5.5
01/31/00;-5.8
02/01/00;-6.7
02/02/00;-7.4
02/03/00;-8
02/04/00;-8.3
02/05/00;-8.4
02/06/00;-8.2
02/07/00;-8.2
02/08/00;-8.3
02/09/00;-8.2
02/10/00;-8.2
02/11/00;-8.3
02/12/00;-8.2
02/13/00;-8.4
02/14/00;-8.5
02/15/00;-8
02/16/00;-6.8
02/17/00;-4.3
02/18/00;-0.02
02/19/00;4.7
02/20/00;9.5
02/21/00;13.3
02/22/00;15.3
02/23/00;16.6
02/24/00;17.6
02/25/00;18.3
02/26/00;18.8
02/27/00;19.9
02/28/00;20.3
02/29/00;20.8
03/01/00;21.2
03/02/00;21.1
03/03/00;20.6
03/04/00;19.3
03/05/00;17.1
03/06/00;14.9
03/07/00;12.9
03/08/00;11.4
03/09/00;10.6
03/10/00;9.6
03/11/00;8.3
03/12/00;6.7
03/13/00;4.6
03/14/00;2.3
03/15/00;0.7
03/16/00;1
03/17/00;2.4
03/18/00;3.4
03/19/00;4.5
03/20/00;6.2
03/21/00;7.1
03/22/00;8.2
03/23/00;10.6
03/24/00;12.8
03/25/00;14
03/26/00;14.7
03/27/00;14.9
03/28/00;14.8
03/29/00;14.4
03/30/00;13.8
03/31/00;12.5
04/01/00;10.5
04/02/00;8.6
04/03/00;6.6
04/04/00;5.7
04/05/00;4.7
04/06/00;4.9
04/07/00;6.6
04/08/00;10
04/09/00;12.5
04/10/00;14.2
04/11/00;15.5
04/12/00;16.8
04/13/00;17.5
04/14/00;18
04/15/00;17.5
04/16/00;16.9
04/17/00;16.4
04/18/00;15.8
04/19/00;15.2
04/20/00;14.2
04/21/00;12.9
04/22/00;11.4
04/23/00;9.8
04/24/00;8.6
04/25/00;8.3
04/26/00;9.5
04/27/00;11.7
04/28/00;12.7
04/29/00;12.7
04/30/00;12.5
05/01/00;12.1
05/02/00;11.8
05/03/00;11.7
05/04/00;11.8
05/05/00;11
05/06/00;9.5
05/07/00;7.7
05/08/00;6.3
05/09/00;4.9
05/10/00;3.5
05/11/00;2.9
05/12/00;3.9
05/13/00;4.9
05/14/00;3.8
05/15/00;2.3
05/16/00;0.8
05/17/00;-0.47
05/18/00;-1.1
05/19/00;-1.5
05/20/00;-2.2
05/21/00;-2.8
05/22/00;-3.5
05/23/00;-3.5
05/24/00;-2.9
05/25/00;-2.3
05/26/00;-1.1
05/27/00;0.95
05/28/00;3.6
05/29/00;6.2
05/30/00;8.8
05/31/00;11.1
06/01/00;12.6
06/02/00;12.6
06/03/00;11.8
06/04/00;11.1
06/05/00;10.4
06/06/00;9.5
06/07/00;8.5
06/08/00;7.3
06/09/00;5.7
06/10/00;4.3
06/11/00;3.8
06/12/00;3.7
06/13/00;4
06/14/00;4.3
06/15/00;4.6
06/16/00;4.1
06/17/00;3.8
06/18/00;4
06/19/00;4.5
06/20/00;6.9
06/21/00;10.5
06/22/00;12.6
06/23/00;13.4
06/24/00;14
06/25/00;14.3
06/26/00;14.4
06/27/00;15.1
06/28/00;16.2
06/29/00;17.2
06/30/00;17.1
07/01/00;16.6
07/02/00;16.2
07/03/00;16.1
07/04/00;16
07/05/00;15.6
07/06/00;14.6
07/07/00;13.3
07/08/00;12.3
07/09/00;11.7
07/10/00;11.4
07/11/00;11.2
07/12/00;11.1
07/13/00;10.9
07/14/00;10.2
07/15/00;9.5
07/16/00;9.4
07/17/00;9.6
07/18/00;9.5
07/19/00;9.1
07/20/00;8.9
07/21/00;8.7
07/22/00;8.6
07/23/00;8.4
07/24/00;8.4
07/25/00;8.4
07/26/00;8
07/27/00;7.2
07/28/00;5.8
07/29/00;4.2
07/30/00;2.8
07/31/00;1.5
08/01/00;1.1
08/02/00;0.64
08/03/00;0.75
08/04/00;1
08/05/00;1.4
08/06/00;1.6
08/07/00;1.8
08/08/00;1.4
08/09/00;0.95
08/10/00;1.3
08/11/00;2.1
08/12/00;3
08/13/00;4.7
08/14/00;6.3
08/15/00;6.8
08/16/00;6.4
08/17/00;5.4
08/18/00;3.7
08/19/00;1.5
08/20/00;-0.61
08/21/00;-1.9
08/22/00;-2.2
08/23/00;-2.1
08/24/00;-1.7
08/25/00;-1.3
08/26/00;-1.2
08/27/00;-1.3
08/28/00;-1.2
08/29/00;-0.61
08/30/00;0.27
08/31/00;1.2
09/01/00;1.4
09/02/00;0.84
09/03/00;-0.03
09/04/00;-1.2
09/05/00;-2.7
09/06/00;-4.1
09/07/00;-5.2
09/08/00;-5.4
09/09/00;-6
09/10/00;-6.4
09/11/00;-7.2
