Date;Stage (Ft)
01/01/00;-7.8
01/02/00;-8.3
01/03/00;-8.5
01/04/00;-8.4
01/05/00;-4.8
01/06/00;1.3
01/07/00;5.5
01/08/00;8.3
01/09/00;9.2
01/10/00;8.6
01/11/00;7.2
01/12/00;5.8
01/13/00;4.7
01/14/00;3.9
01/15/00;3.9
01/16/00;1.8
01/17/00;0.32
01/18/00;0.32
01/19/00;-1
01/20/00;-1.6
01/21/00;-2.8
01/22/00;-3.8
01/23/00;-4.3
01/24/00;-4.6
01/25/00;-5.4
01/26/00;-6.5
01/27/00;-6.3
01/28/00;-5.8
01/29/00;-5.5
01/30/00;-5.4
01/31/00;-6.3
02/01/00;-7
02/02/00;-7.7
02/03/00;-8
02/04/00;-8.1
02/05/00;-8.1
02/06/00;-7.9
02/07/00;-8.1
02/08/00;-8.1
02/09/00;-7.8
02/10/00;-8
02/11/00;-8.1
02/12/00;-8.1
02/13/00;-8.1
02/14/00;-8.1
02/15/00;-7.5
02/16/00;-5.5
02/17/00;-1.8
02/18/00;2.9
02/19/00;7.4
02/20/00;11.7
02/21/00;14.4
02/22/00;16.1
02/23/00;17.4
02/24/00;18.3
02/25/00;18.8
02/26/00;19.4
02/27/00;20.1
02/28/00;20.9
02/29/00;21.6
03/01/00;21.8
03/02/00;21.5
03/03/00;20.5
03/04/00;18.5
03/05/00;16.1
03/06/00;13.6
03/07/00;11.7
03/08/00;10.6
03/09/00;9.8
03/10/00;8.6
03/11/00;7.1
03/12/00;5.2
03/13/00;2.9
03/14/00;0.93
03/15/00;0.35
03/16/00;1.5
03/17/00;2.8
03/18/00;3.8
03/19/00;5
03/20/00;6.2
03/21/00;7.1
03/22/00;8.9
03/23/00;11.6
03/24/00;13.5
03/25/00;14.5
03/26/00;14.9
03/27/00;15
03/28/00;14.6
03/29/00;14.1
03/30/00;13.2
03/31/00;11.4
04/01/00;9
04/02/00;6.8
04/03/00;5.1
04/04/00;4.2
04/05/00;4.3
04/06/00;5.3
04/07/00;8.1
04/08/00;11.4
04/09/00;13.5
04/10/00;15
04/11/00;16.3
04/12/00;17.3
04/13/00;18.1
04/14/00;18.1
04/15/00;17.4
04/16/00;16.8
04/17/00;16.1
04/18/00;15.6
04/19/00;14.7
04/20/00;13.5
04/21/00;12.1
04/22/00;10.4
04/23/00;8.6
04/24/00;7.8
04/25/00;8.4
04/26/00;10.5
04/27/00;12.4
04/28/00;12.8
04/29/00;12.5
04/30/00;12.3
05/01/00;11.9
05/02/00;11.5
05/03/00;11.6
05/04/00;11.4
05/05/00;10.1
05/06/00;8.2
05/07/00;6.6
05/08/00;5.3
05/09/00;4
05/10/00;2.8
05/11/00;3.4
05/12/00;4.5
05/13/00;4.3
05/14/00;2.8
05/15/00;1.5
05/16/00;-0.05
05/17/00;-0.81
05/18/00;-1.1
05/19/00;-1.9
05/20/00;-2.3
05/21/00;-3
05/22/00;-3.4
05/23/00;-2.9
05/24/00;-2.3
05/25/00;-1.5
05/26/00;0.26
05/27/00;2.6
05/28/00;5.3
05/29/00;7.6
05/30/00;10.1
05/31/00;12.1
06/01/00;13
06/02/00;12.4
06/03/00;11.4
06/04/00;10.7
06/05/00;9.9
06/06/00;8.8
06/07/00;7.6
06/08/00;6.3
06/09/00;4.6
06/10/00;3.9
06/11/00;3.7
06/12/00;3.9
06/13/00;4.3
06/14/00;4.4
06/15/00;4.2
06/16/00;3.9
06/17/00;3.8
06/18/00;4.2
06/19/00;5.4
06/20/00;8.9
06/21/00;12
06/22/00;13.3
06/23/00;13.9
06/24/00;14.3
06/25/00;14.5
06/26/00;14.7
