Date;Stage (Ft)
01/01/00;0.44
01/02/00;0.42
01/03/00;0.7
01/04/00;2.9
01/05/00;9.4
01/06/00;14.1
01/07/00;16.6
01/08/00;17.5
01/09/00;17.1
01/10/00;16
01/11/00;14.7
01/12/00;13.5
01/13/00;12.8
01/14/00;12.1
01/15/00;13.78
01/16/00;9.4
01/17/00;8.2
01/18/00;14.04
01/19/00;7.6
01/20/00;6.4
01/21/00;5.3
01/22/00;4.9
01/23/00;4.8
01/24/00;4.3
01/25/00;3
01/26/00;2.8
01/27/00;3.6
01/28/00;3.8
01/29/00;4.2
01/30/00;3.5
01/31/00;2.5
02/01/00;2
02/02/00;1.4
02/03/00;1.2
02/04/00;1.2
02/05/00;1.5
02/06/00;1.3
02/07/00;1.3
02/08/00;1.4
02/09/00;1.4
02/10/00;1.3
02/11/00;1.2
02/12/00;1.1
02/13/00;1
02/14/00;1.6
02/15/00;3.2
02/16/00;6.4
02/17/00;10.9
02/18/00;15.4
02/19/00;18.4
02/20/00;20.8
02/21/00;22.3
02/22/00;23.5
02/23/00;24.3
02/24/00;24.8
02/25/00;25.2
02/26/00;25.7
02/27/00;26.1
02/28/00;27
02/29/00;27.3
03/01/00;27.2
03/02/00;26.6
03/03/00;25.2
03/04/00;23.1
03/05/00;21.1
03/06/00;19.4
03/07/00;18.3
03/08/00;17.7
03/09/00;16.9
03/10/00;15.7
03/11/00;14.2
03/12/00;12
03/13/00;9.8
03/14/00;8.8
03/15/00;9.8
03/16/00;11.2
03/17/00;11.8
03/18/00;13
03/19/00;14.3
03/20/00;14.8
03/21/00;15.8
03/22/00;18.2
03/23/00;19.8
03/24/00;20.9
03/25/00;21.4
03/26/00;21.6
03/27/00;21.4
03/28/00;21.1
03/29/00;20.5
03/30/00;19.3
03/31/00;17.4
04/01/00;15.2
04/02/00;13.5
04/03/00;12.5
04/04/00;12.2
04/05/00;12.9
04/06/00;15.1
04/07/00;18.1
04/08/00;19.9
04/09/00;21.2
04/10/00;22.3
04/11/00;23.1
04/12/00;23.7
04/13/00;24.2
04/14/00;23.6
04/15/00;23
04/16/00;22.5
04/17/00;22.1
04/18/00;21.5
04/19/00;20.7
04/20/00;19.6
04/21/00;18.2
04/22/00;16.7
04/23/00;15.6
04/24/00;15.8
04/25/00;17
04/26/00;19
04/27/00;19.8
04/28/00;19.6
04/29/00;19.4
04/30/00;19.1
05/01/00;18.8
05/02/00;18.8
05/03/00;18.9
05/04/00;18
05/05/00;16.4
05/06/00;14.9
05/07/00;13.8
05/08/00;12.8
05/09/00;11.2
05/10/00;11.3
05/11/00;13
05/12/00;13.2
05/13/00;11.5
05/14/00;1
05/15/00;8.6
05/16/00;7.8
05/17/00;7.7
05/18/00;7
05/19/00;6.5
05/20/00;6
05/21/00;5.3
05/22/00;5.7
05/23/00;6.4
05/24/00;6.8
05/25/00;8.5
05/26/00;10.5
05/27/00;12.9
05/28/00;14.9
05/29/00;17
05/30/00;18.6
05/31/00;19.7
06/01/00;19.5
06/02/00;18.6
06/03/00;17.9
06/04/00;17.5
06/05/00;16.7
06/06/00;15.9
06/07/00;14.9
06/08/00;13.3
06/09/00;12.2
06/10/00;12.3
06/11/00;12.4
06/12/00;12.8
06/13/00;13
06/14/00;12.8
06/15/00;12.3
06/16/00;12.3
06/17/00;12.5
06/18/00;13.1
06/19/00;15.9
06/20/00;18.6
06/21/00;20
06/22/00;20.5
06/23/00;21
06/24/00;21.2
06/25/00;21.3
06/26/00;21.6
06/27/00;22.8
06/28/00;23.7
06/29/00;23.5
06/30/00;23
07/01/00;22.6
07/02/00;22.6
07/03/00;22.6
07/04/00;22.2
07/05/00;21.2
07/06/00;20
07/07/00;19.1
07/08/00;18.7
07/09/00;18.5
07/10/00;18.4
07/11/00;18.4
07/12/00;18.2
07/13/00;17.4
07/14/00;16.8
07/15/00;17
07/16/00;17.3
07/17/00;17.1
07/18/00;16.6
07/19/00;16.5
07/20/00;16.4
07/21/00;16.3
07/22/00;16.1
07/23/00;16.3
07/24/00;16.2
07/25/00;15.8
07/26/00;14.8
07/27/00;13.4
07/28/00;11.9
07/29/00;10.4
07/30/00;9.6
07/31/00;9.6
08/01/00;8.9
08/02/00;9.5
08/03/00;9.7
08/04/00;10
