Date;Stage (Ft)
01/01/00;-2.2
01/02/00;-1.8
01/03/00;-1.1
01/04/00;2.5
01/05/00;1
01/06/00;13.4
01/07/00;15.3
01/08/00;15.7
01/09/00;14.8
01/10/00;13.2
01/11/00;11.8
01/12/00;10.7
01/13/00;10
01/14/00;9.1
01/15/00;11.2
01/16/00;6
01/17/00;5.3
01/18/00;11.93
01/19/00;4.5
01/20/00;2.8
01/21/00;2
01/22/00;1.8
01/23/00;1.7
01/24/00;0.57
01/25/00;-0.23
01/26/00;-0.02
01/27/00;0.68
01/28/00;1
01/29/00;1.1
01/30/00;-0.25
01/31/00;-1
02/01/00;-1.5
02/02/00;-2
02/03/00;-2
02/04/00;-1.8
02/05/00;-1.9
02/06/00;-2
02/07/00;-1.9
02/08/00;-1.9
02/09/00;-1.9
02/10/00;-1.9
02/11/00;-2.1
02/12/00;-2.2
02/13/00;-2.1
02/14/00;-0.92
02/15/00;1.5
02/16/00;5.9
02/17/00;11.1
02/18/00;14.8
02/19/00;17.7
02/20/00;19.8
02/21/00;21.3
02/22/00;22.5
02/23/00;23.4
02/24/00;23.9
02/25/00;24.3
02/26/00;24.8
02/27/00;25.3
02/28/00;26.2
02/29/00;26.4
03/01/00;26
03/02/00;25.2
03/03/00;23.4
03/04/00;21
03/05/00;18.8
03/06/00;17.1
03/07/00;16.1
03/08/00;15.5
03/09/00;14.4
03/10/00;12.9
03/11/00;10.8
03/12/00;8.3
03/13/00;6.4
03/14/00;6.4
03/15/00;8.1
03/16/00;9.2
03/17/00;9.9
03/18/00;11.4
03/19/00;12.4
03/20/00;12.8
03/21/00;14.7
03/22/00;17.3
03/23/00;18.7
03/24/00;19.7
03/25/00;20.2
03/26/00;20.2
03/27/00;19.9
03/28/00;19.4
03/29/00;18.7
03/30/00;16.9
03/31/00;14.5
04/01/00;12
04/02/00;10.4
04/03/00;9.7
04/04/00;1
04/05/00;11.2
04/06/00;14.6
04/07/00;17.5
04/08/00;18.9
04/09/00;20.4
04/10/00;21.5
04/11/00;22.2
04/12/00;22.8
04/13/00;23
04/14/00;22.2
04/15/00;21.5
04/16/00;21.1
04/17/00;20.6
04/18/00;19.8
04/19/00;18.8
04/20/00;17.5
04/21/00;15.7
04/22/00;14
04/23/00;13.3
04/24/00;14
04/25/00;16
04/26/00;18
04/27/00;18.3
04/28/00;17.9
04/29/00;17.7
04/30/00;17.4
05/01/00;17
05/02/00;17.2
05/03/00;17.1
05/04/00;15.6
05/05/00;13.6
05/06/00;12
05/07/00;10.9
05/08/00;9.7
05/09/00;8.3
05/10/00;9.7
05/11/00;11.3
05/12/00;10.3
05/13/00;8
05/14/00;6.8
05/15/00;5.3
05/16/00;5.1
05/17/00;5
05/18/00;4.1
05/19/00;3.7
05/20/00;2.7
05/21/00;2.5
05/22/00;3.5
05/23/00;4
05/24/00;4.8
05/25/00;7.1
05/26/00;9.3
05/27/00;11.6
